date,q,qin,z
2003-08-05,19600.00,19600.00,135.13
2003-08-06,23000.00,23000.00,135.23
2003-08-07,22000.00,22000.00,135.22
2003-08-08,19000.00,19000.00,135.20
2003-08-09,18500.00,18500.00,135.29
2003-08-10,18000.00,18000.00,135.24
2003-08-11,16000.00,16000.00,135.31
2003-08-12,20000.00,20000.00,135.08
2003-08-13,22500.00,22500.00,135.21
2003-08-14,22500.00,22500.00,135.19
2003-08-15,,,
2003-08-16,23500.00,23500.00,135.16
2003-08-17,22600.00,22600.00,135.08
2003-08-18,23500.00,23500.00,135.26
2003-08-19,23000.00,23000.00,135.11
2003-08-20,22000.00,22000.00,135.19
2003-08-21,21000.00,21000.00,135.16
2003-08-22,20000.00,20000.00,135.12
2003-08-23,19500.00,19500.00,135.19
2003-08-24,21200.00,21200.00,135.19
2003-08-25,25000.00,25000.00,135.18
2003-08-26,26800.00,26800.00,135.19
2003-08-27,24800.00,24800.00,135.16
2003-08-28,24200.00,24200.00,135.21
2003-08-29,23500.00,23500.00,135.15
2003-08-30,22000.00,22000.00,135.13
2003-08-31,21000.00,21000.00,135.18
2003-09-01,21000.00,21000.00,135.16
2003-09-02,34000.00,34000.00,135.22
2003-09-03,42500.00,42500.00,135.16
2003-09-04,46000.00,46000.00,135.21
2003-09-05,46000.00,46000.00,135.20
2003-09-06,37500.00,37500.00,135.20
2003-09-07,32000.00,32000.00,135.14
2003-09-08,33500.00,33500.00,135.26
2003-09-09,33000.00,33000.00,135.16
2003-09-10,38000.00,38000.00,135.29
2003-09-11,36800.00,36800.00,135.14
2003-09-12,32600.00,32600.00,135.09
2003-09-13,29800.00,29800.00,135.16
2003-09-14,27200.00,27200.00,135.20
2003-09-15,26300.00,26300.00,135.28
2003-09-16,26000.00,26000.00,135.21
2003-09-17,25000.00,25000.00,135.24
2003-09-18,23800.00,23800.00,135.21
2003-09-19,23800.00,23800.00,135.31
2003-09-20,24500.00,24500.00,135.24
2003-09-21,26700.00,26700.00,135.22
2003-09-22,28500.00,28500.00,135.23
2003-09-23,32500.00,32500.00,135.17
2003-09-24,31000.00,31000.00,135.23
2003-09-25,28000.00,28000.00,135.37
2003-09-26,24500.00,24500.00,135.19
2003-09-27,23200.00,23200.00,135.25
2003-09-28,22700.00,22700.00,135.08
2003-09-29,21600.00,21600.00,135.16
2003-09-30,19400.00,19400.00,135.18
2003-10-01,17000.00,17000.00,135.23
2003-10-02,16000.00,16000.00,135.24
2003-10-03,15600.00,15600.00,135.23
2003-10-04,18500.00,18500.00,135.28
2003-10-05,22500.00,22500.00,135.30
2003-10-06,23000.00,23000.00,135.23
2003-10-07,21300.00,21300.00,135.17
2003-10-08,19500.00,19500.00,135.15
2003-10-09,18200.00,18200.00,135.24
2003-10-10,16500.00,16500.00,135.20
2003-10-11,15900.00,15900.00,135.29
2003-10-12,16500.00,16500.00,135.20
2003-10-13,14700.00,14700.00,135.24
2003-10-14,13900.00,13900.00,135.27
2003-10-15,13800.00,13800.00,135.29
2003-10-16,14400.00,14400.00,135.19
2003-10-17,,,
2004-04-12,8000.00,8000.00,138.13
2004-04-13,7400.00,7400.00,138.12
2004-04-14,7100.00,7100.00,138.17
2004-04-15,7700.00,7700.00,138.42
2004-04-16,9200.00,9200.00,138.49
2004-04-17,10500.00,10500.00,138.39
2004-04-18,10100.00,10100.00,138.41
2004-04-19,8900.00,8900.00,138.40
